TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS,VolatileAcidity_log1p,Chlorides_log1p
3,3.2,1.16,0.39,30.2,0.063,43.0,268.0,0.9928,3.33,0.575,9.9,0,8.0,2.0,0.7701082216960736,0.061095099359810875
3,4.5,0.16,0.39,26.1,0.063,15.0,150.0,1.0197075,3.38,0.7,10.4,-1,7.0,2.0,0.14842000511827327,0.061095099359810875
5,7.1,1.1949999999999998,0.39,14.8,0.037,113.5,142.0,0.99518,3.12,0.48,16.849999999999998,-1,8.0,2.0,0.7861820465271346,0.03633192924739028
3,5.7,0.385,0.04,18.8,0.063,22.0,115.0,0.9964,2.25,1.19,6.2,-1,6.0,2.0,0.32570013963930183,0.061095099359810875
4,8.0,0.33,0.39,9.4,0.063,43.0,108.0,0.99457,3.12,1.19,13.7,0,9.0,2.0,0.28517894223366236,0.061095099359810875
0,11.3,0.32,0.59,2.2,0.248,43.0,15.0,0.9994,3.2,1.19,15.4,0,9.5,2.0,0.2776317365982795,0.22154226994723591
0,7.7,0.29,0.39,21.5,0.06,113.5,156.0,0.99572,3.49,1.19,10.3,0,8.0,2.0,0.2546422183735807,0.058268908123975775
4,6.5,0.36,0.34,1.4,0.04,113.5,321.0,1.0197075,3.2,0.575,11.6,1,7.0,2.0,0.3074846997479606,0.039220713153281295
3,14.149999999999999,0.27,0.9999999999999999,11.25,0.063,43.0,150.0,0.9962,4.17,0.26,15.0,0,6.0,2.0,0.23901690047049992,0.061095099359810875
6,5.5,0.36,0.39,1.8,0.063,62.0,180.0,0.9685275,3.09,0.75,12.6,0,8.0,2.0,0.3074846997479606,0.061095099359810875
0,7.2,0.52,0.15,8.7,0.063,113.5,65.0,0.9934,4.17,0.56,13.1,1,5.5,2.0,0.41871033485818504,0.061095099359810875
4,9.0,0.22,0.49,10.4,0.063,43.0,195.0,1.0197075,3.01,0.575,10.2,0,9.5,2.0,0.19885085874516517,0.061095099359810875
3,6.0,0.33,0.39,3.0,0.248,5.0,321.0,0.9685275,3.55,0.575,4.45,1,7.0,2.0,0.28517894223366236,0.22154226994723591
7,14.149999999999999,0.32,0.34,1.3,0.042,20.0,150.0,0.9685275,2.93,1.19,12.0,2,8.0,2.0,0.2776317365982795,0.04114194333117518
4,14.149999999999999,0.51,0.9999999999999999,2.9,0.063,43.0,45.0,0.9974,4.17,1.19,12.1,0,9.0,2.0,0.412109650826833,0.061095099359810875
0,5.7,0.5,0.39,6.1,0.071,113.5,150.0,0.9978,3.35,0.575,6.8,0,8.0,2.0,0.4054651081081644,0.06859279146561172
0,7.9,0.6,0.06,30.2,0.069,15.0,321.0,0.9964,3.3,0.46,4.45,1,9.0,2.0,0.4700036292457355,0.06672363204290818
4,7.2,0.22,0.9999999999999999,8.7,0.248,43.0,150.0,0.99672,3.61,0.82,10.0,0,8.0,2.0,0.19885085874516517,0.22154226994723591
5,10.0,0.23,0.27,14.1,0.033,43.0,229.0,0.9988,3.14,0.88,11.0,1,9.5,2.0,0.20701416938432612,0.032467190137501496
4,6.8,0.475,0.39,8.7,0.047,43.0,321.0,0.99403,3.23,0.35,16.849999999999998,-1,8.0,2.0,0.3886579897917832,0.0459289318883998
3,5.8,0.76,0.33,8.7,0.063,87.0,150.0,0.9885,3.07,0.56,11.4,-1,6.0,2.0,0.5653138090500605,0.061095099359810875
2,6.5,0.24,0.24,8.7,0.063,15.0,60.0,1.00916,3.19,0.575,9.8,-1,7.0,2.0,0.2151113796169455,0.061095099359810875
3,7.1,0.97,0.25,11.2,0.135,32.0,180.0,1.00278,3.14,0.42,9.5,0,8.0,2.0,0.6780335427498971,0.126632650933366
4,4.0,0.35,0.67,4.2,0.248,43.0,150.0,0.98345,3.19,1.19,6.2,1,8.0,2.0,0.30010459245033805,0.22154226994723591
4,11.3,0.17,0.34,15.6,0.044,113.5,139.0,0.99752,3.06,1.19,9.1,0,7.0,2.0,0.15700374880966475,0.04305948946044697
0,2.7,0.36,0.39,8.7,0.174,43.0,72.0,0.99519,3.18,0.4,15.2,-1,7.0,2.0,0.3074846997479606,0.16041672140590468
4,6.4,1.1949999999999998,0.56,30.2,0.055,27.0,150.0,1.0197075,2.25,0.575,9.1,1,7.0,2.0,0.7861820465271346,0.05354076692802982
6,8.3,0.36,0.27,13.2,0.036,31.0,150.0,0.99408,2.25,0.06999999999999995,13.0,1,7.0,2.0,0.3074846997479606,0.03536714383729131
